Timestamp: 23970 | X_pos: 0.8828409910202026 | Y_pos: 0.31287091970443726 | yaw: 94.34690856933594 | front: 2.061 | back: 1.169 | left: 0.304 | right: 2.496 | down: 0.307 | 
Timestamp: 23970 | X_pos: 0.8828409910202026 | Y_pos: 0.31287091970443726 | yaw: 94.34690856933594 | front: 2.061 | back: 1.169 | left: 0.304 | right: 2.496 | down: 0.307 | 
Timestamp: 24070 | X_pos: 0.883279025554657 | Y_pos: 0.32896557450294495 | yaw: 94.20059204101562 | front: 2.038 | back: 1.183 | left: 0.272 | right: 2.486 | down: 0.308 | 
Timestamp: 24170 | X_pos: 0.8821749091148376 | Y_pos: 0.3441894054412842 | yaw: 94.0376205444336 | front: None | back: 1.197 | left: 0.26 | right: 2.499 | down: 0.307 | 
Timestamp: 24270 | X_pos: 0.8814012408256531 | Y_pos: 0.36308595538139343 | yaw: 93.85633087158203 | front: 1.932 | back: 1.214 | left: 0.248 | right: 2.485 | down: 0.305 | 
Timestamp: 24370 | X_pos: 0.8781190514564514 | Y_pos: 0.37753987312316895 | yaw: 93.61399841308594 | front: 1.898 | back: 1.235 | left: 0.238 | right: 2.495 | down: 0.305 | 
Timestamp: 24470 | X_pos: 0.8763973116874695 | Y_pos: 0.393464058637619 | yaw: 93.41483306884766 | front: 1.844 | back: 1.247 | left: 0.232 | right: 2.493 | down: 0.307 | 
Timestamp: 24570 | X_pos: 0.8732031583786011 | Y_pos: 0.41166892647743225 | yaw: 93.2100830078125 | front: 1.827 | back: 1.26 | left: 0.222 | right: 2.499 | down: 0.31 | 
Timestamp: 24670 | X_pos: 0.8679845333099365 | Y_pos: 0.42608094215393066 | yaw: 92.92035675048828 | front: 1.857 | back: 1.279 | left: 0.217 | right: 2.501 | down: 0.307 | 
Timestamp: 24770 | X_pos: 0.8673447966575623 | Y_pos: 0.44311872124671936 | yaw: 92.63165283203125 | front: 1.853 | back: 1.29 | left: 0.214 | right: 2.485 | down: 0.307 | 
Timestamp: 24970 | X_pos: 0.8639436960220337 | Y_pos: 0.4760173559188843 | yaw: 91.89494323730469 | front: None | back: 1.327 | left: 0.222 | right: 2.492 | down: 0.307 | 
Timestamp: 24970 | X_pos: 0.8639436960220337 | Y_pos: 0.4760173559188843 | yaw: 91.89494323730469 | front: None | back: 1.327 | left: 0.222 | right: 2.492 | down: 0.307 | 
Timestamp: 25070 | X_pos: 0.863152265548706 | Y_pos: 0.4906280040740967 | yaw: 91.78947448730469 | front: None | back: 1.341 | left: 0.208 | right: 2.487 | down: 0.303 | 
Timestamp: 25170 | X_pos: 0.8639715313911438 | Y_pos: 0.5122479796409607 | yaw: 91.58263397216797 | front: None | back: 1.352 | left: 0.223 | right: 2.487 | down: 0.305 | 
Timestamp: 25370 | X_pos: 0.864607572555542 | Y_pos: 0.5482001900672913 | yaw: 91.12069702148438 | front: None | back: 1.389 | left: 0.227 | right: 2.498 | down: 0.303 | 
Timestamp: 25370 | X_pos: 0.864607572555542 | Y_pos: 0.5482001900672913 | yaw: 91.12069702148438 | front: None | back: 1.389 | left: 0.227 | right: 2.498 | down: 0.303 | 
Timestamp: 25470 | X_pos: 0.8651674389839172 | Y_pos: 0.5650057196617126 | yaw: 90.89452362060547 | front: None | back: 1.406 | left: 0.211 | right: 2.498 | down: 0.304 | 
Timestamp: 25570 | X_pos: 0.8644036054611206 | Y_pos: 0.583370566368103 | yaw: 90.57817840576172 | front: None | back: 1.424 | left: 0.231 | right: 2.499 | down: 0.307 | 
Timestamp: 25670 | X_pos: 0.8661109209060669 | Y_pos: 0.602016270160675 | yaw: 90.61228942871094 | front: None | back: 1.435 | left: 0.213 | right: 2.491 | down: 0.31 | 
Timestamp: 25770 | X_pos: 0.8666708469390869 | Y_pos: 0.6200333833694458 | yaw: 91.06600189208984 | front: 1.37 | back: 1.445 | left: 0.216 | right: 2.49 | down: 0.307 | 
Timestamp: 25870 | X_pos: 0.868478536605835 | Y_pos: 0.6331222653388977 | yaw: 91.55694580078125 | front: 1.289 | back: 1.463 | left: 0.217 | right: 2.487 | down: 0.308 | 
Timestamp: 25970 | X_pos: 0.8699967861175537 | Y_pos: 0.6494411826133728 | yaw: 91.78163146972656 | front: None | back: 1.475 | left: 0.222 | right: 2.491 | down: 0.306 | 
Timestamp: 26070 | X_pos: 0.8706352114677429 | Y_pos: 0.6640923619270325 | yaw: 91.5121078491211 | front: 1.235 | back: 1.491 | left: 0.223 | right: 2.495 | down: 0.311 | 
Timestamp: 26170 | X_pos: 0.8699707984924316 | Y_pos: 0.6805161833763123 | yaw: 90.7926254272461 | front: None | back: 1.505 | left: 0.225 | right: 2.485 | down: 0.306 | 
Timestamp: 26270 | X_pos: 0.8696941137313843 | Y_pos: 0.6955729722976685 | yaw: 90.11138153076172 | front: None | back: 1.519 | left: 0.224 | right: 2.488 | down: 0.308 | 
