Timestamp: 23839 | X_pos: 0.8593055009841919 | Y_pos: 0.22802573442459106 | yaw: 93.93559265136719 | front: 2.122 | back: 1.125 | left: 32766 | right: 2.524 | down: 304 | 
Timestamp: 23939 | X_pos: 0.8612352013587952 | Y_pos: 0.24174179136753082 | yaw: 94.03495788574219 | front: 2.072 | back: 1.143 | left: 325 | right: 2.51 | down: 306 | 
Timestamp: 24039 | X_pos: 0.8662150502204895 | Y_pos: 0.25497353076934814 | yaw: 94.1523208618164 | front: 2.1 | back: 1.156 | left: 284 | right: 2.505 | down: 305 | 
Timestamp: 24139 | X_pos: 0.8691662549972534 | Y_pos: 0.2681838274002075 | yaw: 94.2219009399414 | front: 2.076 | back: 1.173 | left: 256 | right: 2.497 | down: 304 | 
Timestamp: 24239 | X_pos: 0.8717096447944641 | Y_pos: 0.28376486897468567 | yaw: 94.34007263183594 | front: 32.766 | back: 1.186 | left: 252 | right: 2.498 | down: 303 | 
Timestamp: 24339 | X_pos: 0.871017336845398 | Y_pos: 0.29837384819984436 | yaw: 94.36748504638672 | front: 2.013 | back: 1.197 | left: 250 | right: 2.501 | down: 306 | 
Timestamp: 24439 | X_pos: 0.8692166209220886 | Y_pos: 0.3130263686180115 | yaw: 94.37973022460938 | front: 32.766 | back: 1.21 | left: 243 | right: 2.501 | down: 304 | 
Timestamp: 24539 | X_pos: 0.8662241101264954 | Y_pos: 0.32699576020240784 | yaw: 94.3375244140625 | front: 1.958 | back: 1.227 | left: 233 | right: 2.502 | down: 302 | 
Timestamp: 24639 | X_pos: 0.8630945086479187 | Y_pos: 0.34043002128601074 | yaw: 94.2573471069336 | front: 32.766 | back: 1.238 | left: 229 | right: 2.498 | down: 302 | 
Timestamp: 24739 | X_pos: 0.861703097820282 | Y_pos: 0.35548990964889526 | yaw: 94.19903564453125 | front: 1.894 | back: 1.252 | left: 221 | right: 2.482 | down: 307 | 
Timestamp: 24839 | X_pos: 0.8617053031921387 | Y_pos: 0.3706308603286743 | yaw: 94.09282684326172 | front: 1.869 | back: 1.262 | left: 220 | right: 2.495 | down: 306 | 
Timestamp: 24939 | X_pos: 0.8614237904548645 | Y_pos: 0.38745296001434326 | yaw: 93.98907470703125 | front: 32.766 | back: 1.276 | left: 219 | right: 2.484 | down: 306 | 
Timestamp: 25039 | X_pos: 0.8635408878326416 | Y_pos: 0.4008735120296478 | yaw: 93.92465209960938 | front: 32.766 | back: 1.289 | left: 222 | right: 2.505 | down: 304 | 
Timestamp: 25139 | X_pos: 0.8654122352600098 | Y_pos: 0.41787832975387573 | yaw: 93.78377532958984 | front: 32.766 | back: 1.303 | left: 221 | right: 2.486 | down: 305 | 
Timestamp: 25239 | X_pos: 0.8630432486534119 | Y_pos: 0.43325281143188477 | yaw: 93.70515441894531 | front: 32.766 | back: 1.314 | left: 224 | right: 2.499 | down: 305 | 
Timestamp: 25339 | X_pos: 0.8616792559623718 | Y_pos: 0.4481460452079773 | yaw: 93.56396484375 | front: 32.766 | back: 1.326 | left: 224 | right: 2.477 | down: 303 | 
Timestamp: 25439 | X_pos: 0.8611463904380798 | Y_pos: 0.4620151221752167 | yaw: 93.37776184082031 | front: 32.766 | back: 1.34 | left: 229 | right: 2.476 | down: 299 | 
Timestamp: 25539 | X_pos: 0.861525297164917 | Y_pos: 0.47730737924575806 | yaw: 93.10670471191406 | front: 32.766 | back: 1.358 | left: 228 | right: 2.477 | down: 302 | 
Timestamp: 25639 | X_pos: 0.8623377084732056 | Y_pos: 0.49161580204963684 | yaw: 92.93577575683594 | front: 1.579 | back: 1.366 | left: 227 | right: 2.498 | down: 307 | 
Timestamp: 25739 | X_pos: 0.8641493916511536 | Y_pos: 0.5063350200653076 | yaw: 92.63457489013672 | front: 1.521 | back: 1.382 | left: 228 | right: 2.465 | down: 309 | 
Timestamp: 25839 | X_pos: 0.8637155294418335 | Y_pos: 0.5220105051994324 | yaw: 92.39796447753906 | front: 32.766 | back: 1.394 | left: 229 | right: 2.49 | down: 308 | 
Timestamp: 25939 | X_pos: 0.8658810257911682 | Y_pos: 0.5369731187820435 | yaw: 92.4736099243164 | front: 32.766 | back: 1.411 | left: 229 | right: 2.485 | down: 310 | 
Timestamp: 26039 | X_pos: 0.8663780093193054 | Y_pos: 0.5521856546401978 | yaw: 92.85604095458984 | front: 1.418 | back: 1.43 | left: 233 | right: 2.479 | down: 310 | 
Timestamp: 26139 | X_pos: 0.8681887984275818 | Y_pos: 0.5681694149971008 | yaw: 93.1365737915039 | front: 1.321 | back: 1.442 | left: 237 | right: 2.465 | down: 310 | 
Timestamp: 26239 | X_pos: 0.8693028092384338 | Y_pos: 0.5867771506309509 | yaw: 93.34786987304688 | front: 32.766 | back: 1.46 | left: 238 | right: 2.473 | down: 307 | 
Timestamp: 26339 | X_pos: 0.8696141242980957 | Y_pos: 0.603087306022644 | yaw: 93.43126678466797 | front: 1.277 | back: 1.472 | left: 240 | right: 2.48 | down: 312 | 
Timestamp: 26439 | X_pos: 0.8696249723434448 | Y_pos: 0.6191273331642151 | yaw: 93.28524017333984 | front: 32.766 | back: 1.487 | left: 240 | right: 2.475 | down: 312 | 
Timestamp: 26539 | X_pos: 0.8679676055908203 | Y_pos: 0.6334333419799805 | yaw: 92.6435775756836 | front: 32.766 | back: 1.5 | left: 241 | right: 2.471 | down: 318 | 
Timestamp: 26639 | X_pos: 0.865153431892395 | Y_pos: 0.6470512747764587 | yaw: 91.4443588256836 | front: 1.254 | back: 1.511 | left: 238 | right: 2.488 | down: 318 | 
Timestamp: 26739 | X_pos: 0.8630035519599915 | Y_pos: 0.6601882576942444 | yaw: 90.17045593261719 | front: 1.213 | back: 1.519 | left: 239 | right: 2.485 | down: 318 | 
Timestamp: 26839 | X_pos: 0.860727071762085 | Y_pos: 0.6717918515205383 | yaw: 88.67415618896484 | front: 1.192 | back: 1.533 | left: 236 | right: 2.498 | down: 318 | 
Timestamp: 26939 | X_pos: 0.8586857318878174 | Y_pos: 0.6826915740966797 | yaw: 87.25738525390625 | front: 32.766 | back: 1.541 | left: 237 | right: 2.496 | down: 318 | 
Timestamp: 27039 | X_pos: 0.85550457239151 | Y_pos: 0.6976302266120911 | yaw: 86.32372283935547 | front: 1.153 | back: 1.551 | left: 233 | right: 2.502 | down: 318 | 
Timestamp: 27139 | X_pos: 0.8543397784233093 | Y_pos: 0.7098451256752014 | yaw: 85.98748779296875 | front: 1.121 | back: 1.57 | left: 233 | right: 2.493 | down: 325 | 
Timestamp: 27239 | X_pos: 0.8554052114486694 | Y_pos: 0.7242525219917297 | yaw: 85.9830322265625 | front: 32.766 | back: 1.584 | left: 232 | right: 2.513 | down: 322 | 
Timestamp: 27339 | X_pos: 0.8580134510993958 | Y_pos: 0.7378906607627869 | yaw: 86.50570678710938 | front: 1.088 | back: 1.592 | left: 237 | right: 2.482 | down: 320 | 
Timestamp: 27439 | X_pos: 0.8631876111030579 | Y_pos: 0.750862717628479 | yaw: 87.19142150878906 | front: 32.766 | back: 1.608 | left: 236 | right: 2.481 | down: 316 | 
Timestamp: 27539 | X_pos: 0.8680998086929321 | Y_pos: 0.7635235786437988 | yaw: 87.74595642089844 | front: 1.055 | back: 1.617 | left: 245 | right: 2.491 | down: 310 | 
